"table_name","error_type","error_description"
"call","FK Violation","The cTakenBy 79 in AgencyCall could not be found in the 'Users' table."
"call","FK Violation","The cTakenBy 948 in AgencyCall could not be found in the 'Users' table."
"call","FK Violation","The cTakenBy 770 in AgencyCall could not be found in the 'Users' table."
"call","FK Violation","The cTakenBy 495 in AgencyCall could not be found in the 'Users' table."
"call","FK Violation","The cTakenBy 39 in AgencyCall could not be found in the 'Users' table."
"call","FK Violation","The cTakenBy 962 in AgencyCall could not be found in the 'Users' table."
"call","FK Violation","The cTakenBy  in AgencyCall could not be found in the 'Users' table."
"call","FK Violation","The nChildContactID 1226 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 14 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 165 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 30 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 409 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 448 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 453 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 460 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 499 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 57 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 65 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 70 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 793 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 8 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 809 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nChildContactID 825 in AgencyCall could not be found in the 'agency_call' table."
"call","FK Violation","The nSourceID 1 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 100 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 101 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 103 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 106 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 110 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 13 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 18 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 2 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 21 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 25 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 26 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 29 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 3 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 31 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 33 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 39 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 4 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 43 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 46 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 5 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 62 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 64 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 68 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 7 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 75 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 78 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 79 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 85 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 92 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 94 in AgencyCall could not be found in the 'recruitment_source' table."
"call","FK Violation","The nSourceID 99 in AgencyCall could not be found in the 'recruitment_source' table."
"call_child","FK Violation","The nChildID 507 in AgencyCallChild could not be found in the 'child' table."
"call_child","FK Violation","The nChildID 50 in AgencyCallChild could not be found in the 'child' table."
"call_child","FK Violation","The nChildID 235 in AgencyCallChild could not be found in the 'child' table."
"call_child","FK Violation","The nChildID 235 in FamilyCallChild could not be found in the 'child' table."
"call_child","FK Violation","The nChildID 332 in FamilyCallChild could not be found in the 'child' table."
"call_child","FK Violation","The nChildID 50 in FamilyCallChild could not be found in the 'child' table."
"call_child","FK Violation","The nChildID 507 in FamilyCallChild could not be found in the 'child' table."
"call","InquiryType check failed","cll_id 992 The Call have call children and call agency referrals the same time."
