"mlt_id","name"
"1","Adoption Parties"
"3","Family Pages"
"4","Photolisting Pages"
"5","Newsletters"
"7","Email Single Parent Matching"
"10","Contracted Adoption Workers"
"11","DCF Adoption Workers"
"12","Video Libraries"
"16","Non DCF/Contracted Contacts"
"32","Board of Directors"
"33","Boston Coalition"
"35","DCF Area/Reg. Dir. and APMs"
"36","Honorary Board of Directors"
"38","Out of Country Newsletters"
"39","DCF Adoption Supervisors"
"40","Contracted Adoption Sups"
"41","Contracted Exec Directors"
"42","Adoption Mixer Families 2002"
"43","E-mail Newsletter"
"1001","Heart Gallery 2005"
"1002","E-mail Adoption Parties"
"1003","Fundraising"
"1004","Single Parent Matching Night"
"1005","Heart Gallery Photographers"
"1006","Latino Families"
"1007","2007 Family Follow-up Project"
"1008","Former Board of Directors"
"1010","Statewide Recruitment"
"1011","AUKFY2015"
