"rca_id","type","name"
"90","C","Attended Recruitment Events / Adoption Parties"
"50","C","Listed on AdoptUsKids"
"40","C","Listed on MARE Website"
"60","C","Listed on Online Matching"
"20","C","Matched in MARE Database"
"100","C","Matched With"
"70","C","Media Outlets"
"30","C","Photolisting Pages"
"110","C","Placed With"
"80","C","Presented at Coalition and other Matching Events/Meetings"
"10","C","Registered in MARE Database"
"35","C","Video Snapshot"
"1040","F","Events"
"1030","F","Family Profile"
"1020","F","Matched in MARE database"
"1050","F","Online Matching"
"1010","F","Registration Date"
"1060","F","Support Services"
